t,a
16.76,-0.22018
16.78,-0.15207
16.8,-0.1177
16.82,-0.08073
16.84,-0.07277
16.86,-0.09539
16.88,-0.08972
16.9,-0.04054
16.92,0.00757
16.94,0.04161
16.96,0.05392
16.98,0.10968
17,0.17299
17.02,0.19964
17.04,0.20431
17.06,0.18776
17.08,0.13676
17.1,0.10188
17.12,0.10803
17.14,0.12668
17.16,0.14102
17.18,0.10491
17.2,0.10071
17.22,0.15106
17.24,0.18292
17.26,0.15088
17.28,0.11693
17.3,0.06964
17.32,0.01173
17.34,-0.01702
17.36,-0.02899
17.38,-0.05276
17.4,-0.02583
17.42,-0.01579
17.44,-0.05968
17.46,-0.06722
17.48,-0.08515
17.5,-0.06124
17.52,0.00447
17.54,0.03326
17.56,-0.03665
17.58,-0.10001
17.6,-0.10451
17.62,-0.07176
17.64,-0.05906
17.66,-0.06658
17.68,-0.04839
17.7,-0.01847
17.72,0.01113
17.74,0.04006
17.76,0.05647
17.78,0.05999
17.8,0.0554
17.82,0.01728
17.84,-0.02285
17.86,0.02028
17.88,0.10519
17.9,0.17107
17.92,0.20659
17.94,0.15719
17.96,0.08716
17.98,0.03632
18,0.06301
18.02,0.1283
18.04,0.17505
18.06,0.15273
18.08,0.08131
18.1,0.02602
18.12,0.01906
18.14,-0.00485
18.16,-0.02142
18.18,0.0139
18.2,0.00796
18.22,0.01676
18.24,0.05991
18.26,0.10387
18.28,0.13643
18.3,0.13137
18.32,0.09977
18.34,0.08837
18.36,0.07272
18.38,0.07022
18.4,0.08655
18.42,0.13072
18.44,0.14613
18.46,0.12235
18.48,0.06952
18.5,0.03882
18.52,0.0449
18.54,0.02083
18.56,-0.0206
18.58,-0.05643
18.6,-0.09109
18.62,-0.10526
18.64,-0.1159
18.66,-0.14016
18.68,-0.15526
18.7,-0.16298
18.72,-0.16713
18.74,-0.18179
18.76,-0.14529
18.78,-0.12397
18.8,-0.16728
18.82,-0.18033
18.84,-0.13749
18.86,-0.13061
18.88,-0.12505
18.9,-0.09359
18.92,-0.04444
18.94,-0.0029
18.96,0.00548
18.98,0.03024
19,0.05948
19.02,0.04982
19.04,0.0156
19.06,-0.02243
19.08,-0.06562
19.1,-0.09155
19.12,-0.09605
19.14,-0.10522
19.16,-0.10442
19.18,-0.10477
19.2,-0.10379
19.22,-0.10434
19.24,-0.10194
19.26,-0.10299
19.28,-0.1085
19.3,-0.12605
19.32,-0.15573
19.34,-0.11759
19.36,-0.06649
19.38,-0.05528
19.4,-0.07181
